,dot_id,label,x,y,flg_type#1,flg_type#2,flg_type#3,flg_type#4,flg_type#5,flg_type#6,flg_type#7,tsr_cfd,has_inf,inf_cfd,has_filter_desc,filter_cfd,source,flg_pos_r,flg_pos_sin,flg_size,flg_shape,pub_road_num,pri_road_num,road_class,fc,link_type,camera_num,furniture_num,guidance_num,forbid_num
1687,3f971606214543a88c04930190aa1c45,0,120.11665900000001,35.918098,0.0,1.0,0.0,0.0,0.0,0.0,0.0,996,0,0,1,1000,8,0.848493202,0.011458221000000001,133.4635417,0.731707317,0,6,45000.0,6.0,0.0,12,30,13,22
59,ea37e0cdcf664404827c9e8982241b18,0,117.17327399999999,31.856809000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,992,0,0,0,0,8,0.466123501,0.241352345,163.30295139999998,0.813953488,2,0,0.0,0.0,0.0,11,27,22,41
878,8e0c3b730ca647f5af67309c833a1f9d,1,120.33600200000001,31.759597999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,475,0,0,0,0,8,0.590222322,0.90832063,38.19444444,1.375,1,0,45000.0,5.0,0.0,4,25,12,10
11,0bf005ac72a24baa9885eb9ea45f703f,0,106.77818799999999,34.368244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,992,1,0,1,1000,1,0.255525561,-0.43186115,2145.767212,1.0,1,0,41000.0,1.0,0.0,1,16,0,0
1785,cd90600b0cff42b38796c71d0ec1547f,1,110.692458,27.091627000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,1,0.6936208309999999,-0.027454436000000002,294.4469452,1.368421053,1,0,42000.0,2.0,0.0,5,9,9,0
2122,a3f06ff0821d41089819e2f151064e32,0,117.24193600000001,31.841053000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,0,0,8,0.689397721,0.6205094170000001,2606.770833,1.378787879,2,1,0.0,0.0,0.0,16,36,17,21
1572,9376d8609a5e4e189ac899f32c5f0d70,1,121.46834799999999,29.762363,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,1,1000,8,0.694915834,0.5376350529999999,1709.6354170000002,1.544554455,2,0,0.0,0.0,0.0,10,45,10,3
1110,3bc619dcf3a6470787baa5fbb241eee0,1,99.243004,25.068945000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.688521968,0.054464492999999996,4500.217014,0.763948498,2,0,41000.0,1.0,0.0,2,16,1,0
177,b688e0de811b4de6a998989ff45f353d,0,117.145778,31.840477000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,999,1,0,0,0,8,0.915501552,0.980033535,100.91145829999999,1.033333333,2,0,44000.0,4.0,0.0,10,28,16,4
2151,105136f2372a44cc8a47b92582dda720,0,107.14224899999999,33.047292999999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,8,0.50168745,0.177179814,677.0833332999999,1.025641026,1,0,0.0,0.0,0.0,17,26,3,0
1146,860461f27c9240eba167df937ecb2fe3,1,112.674618,38.553256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,1.048468681,0.7683162790000001,1201.605903,1.153061224,2,0,41000.0,1.0,0.0,2,19,0,0
2229,048fdfe26a6d449988d26c0d7062fc91,0,108.95236799999999,32.692412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,999,0,0,1,1000,8,0.404181581,-0.7181865559999999,4703.776042,7.706666667,1,0,41000.0,1.0,0.0,3,11,4,0
1437,e0481fda2fab4dcaaccd4085ad20f92e,0,117.242303,31.866722999999997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1000,0,0,0,0,8,0.661621011,-0.98663399,902.7777777999999,8.125,1,0,45000.0,5.0,0.0,11,31,14,37
1318,14dc8136993843f887d7ab2314a9f228,0,110.89033899999998,29.342471000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,0,1,1000,8,0.400943049,0.443399076,312.5,0.5555555560000001,1,0,41000.0,1.0,0.0,8,32,0,0
1269,da930f0a6478407dbb9a80b25fc52ddd,0,117.187633,31.846446999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1000,0,0,0,0,8,0.42127923799999994,-0.029671531,3184.787326,12.2244898,5,0,45000.0,5.0,0.0,16,17,7,10
604,89b811277d6c49338fa8497f907e342c,1,104.411638,31.263567,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,8,1.018592723,0.43496831,100.6944444,1.103448276,3,0,45000.0,5.0,0.0,0,4,0,3
489,fc36bb6fba404c6a96d57ddb129df155,0,117.243927,31.878688,0.0,1.0,0.0,0.0,0.0,0.0,0.0,994,1,1000,0,0,1,0.6151810879999999,0.054766648,42.77229309,1.179487179,1,0,0.0,0.0,0.0,8,22,8,11
764,965f00e5432c4b9f81ddfa4f028426d0,0,117.24632700000001,31.851491999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,987,0,0,0,0,8,0.547314555,0.9592290109999999,173.61111110000002,1.0,3,0,51000.0,2.0,0.0,31,53,17,28
1425,f0bdc03dc30b45d4a29fccbc0f06d19c,1,117.581194,24.829954,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1000,8,0.079258749,0.560751275,21.26736111,1.0,2,0,41000.0,1.0,3.0,0,14,0,0
1281,c5d5762ab7b0420fb86aad7870192f97,0,117.210108,31.833239000000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,998,0,0,0,0,8,0.387963658,-0.927205976,136.71875,2.857142857,4,0,45000.0,4.0,0.0,25,53,24,42
747,069db0747cd445f6be8e3cdd86bd93fd,0,117.14196299999999,31.860877000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,287,0,0,0,0,8,0.525828312,0.385634955,64.88715278,0.884615385,1,0,41000.0,1.0,0.0,5,28,13,0
2096,475fb2e67ca64319bac2895fa92c19c6,0,117.231226,31.845412,0.0,0.0,1.0,0.0,0.0,0.0,0.0,998,0,0,0,0,8,0.822667933,-0.043895124,173.17708330000002,0.904761905,2,0,0.0,0.0,0.0,14,27,12,47
1895,f64cde8850b24dbea37615d16c280ccd,0,117.222449,31.871578000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000,1,1000,0,0,8,0.8011771129999999,0.967326685,2592.881944,1.775862069,2,0,45000.0,4.0,0.0,12,13,4,6
