dot_id,label,x,y,flg_type#1,flg_type#2,flg_type#3,flg_type#4,flg_type#5,flg_type#6,flg_type#7,tsr_cfd,has_inf,inf_cfd,has_filter_desc,filter_cfd,source,flg_pos_r,flg_pos_sin,flg_size,flg_shape,pub_road_num,pri_road_num,road_class,fc,link_type,camera_num,furniture_num,guidance_num,forbid_num
09acf48f886b4c1aadf92cd5732d7797,1,110.949965,31.741219,0,1,0,0,0,0,0,939,1,999,0,0,8,0.683024703,0.974017155,82.03125,1.037037037,1,0,0,0,0,5,8,2,0
042042abc9464e46b89badd3a2bff8c4,0,113.370034,28.197753,0,0,0,0,0,0,1,975,0,0,0,0,8,0,-1,36000,1.777777778,2,0,41000,1,0,6,8,0,0
0476d081e7bb463988238181f4142904,0,119.080338,26.245059,0,0,0,1,0,0,0,1000,1,0,1,0,8,0.764560868,0.43961328,160.15625,1.138888889,2,0,41000,1,0,1,2,0,0
339a4ae8258548fe80a6008ff753ad03,0,117.146609,31.840473,0,0,0,1,0,0,0,1000,1,1000,0,0,8,0.835866015,0.975368974,1170.572917,1.425287356,2,0,0,0,0,10,28,16,4
f706754373a44868be239bae9e538587,0,117.548314,39.275882,0,0,0,1,0,0,0,1000,0,0,0,0,8,0.936611958,0.588436181,3695.746528,1.091603053,2,0,51000,3,0,16,21,6,4
4e123805230b4bc0848db7c2ed8e1700,0,118.131278,26.468724,0,0,0,1,0,0,0,1000,0,0,0,0,8,0.289931054,-0.546106846,37.57911392,1.055555556,1,0,41000,1,0,4,20,1,0
7711a418525448ef8e83bd1adb6e6d98,0,117.179879,31.851494,0,1,0,0,0,0,0,993,0,0,0,0,8,0.365522692,-0.706750466,36.45833333,1.3125,2,0,0,0,0,25,54,23,24
ac48194b9eb748d9a18e7869aa549d13,0,117.225054,31.848431,0,0,0,1,0,0,0,1000,1,0,0,0,8,0.745944747,0.984955287,1745.768229,1.860215054,5,1,44000,4,0,15,28,13,51
7f234b8528d343d8bb80b9b1202adbe5,0,117.226741,31.84097,0,0,0,1,0,0,0,1000,1,1000,0,0,8,0.415774254,0.998805899,3571.180556,2.247933884,1,0,44000,4,0,20,35,21,44
dbf05e104d604713996c9d953df1f935,0,117.252154,31.885951,0,0,1,0,0,0,0,997,0,0,0,0,8,0.865769211,0.415494358,183.59375,0.765957447,3,1,44000,3,0,25,79,35,30
42085c44c1754d87bb860b9d66840bd4,1,117.473301,37.827883,0,1,0,0,0,0,0,394,0,0,0,0,8,0.895724521,0.266699061,32.55208333,0.75,1,0,45000,5,0,0,0,0,0
4fb8af017abb4c65a44cf70c83b0fe05,0,117.155211,31.856983,0,0,0,1,0,0,0,1000,1,1000,0,0,8,0.593438643,0.987652419,4634.548611,1.848684211,2,0,44000,4,0,10,30,24,21
ad1ce4d9a9b5469daa5c7cb827b3dc56,1,115.621425,28.614799,0,1,0,0,0,0,0,205,1,996,0,0,1,0.73926652,-0.108981543,33.83159637,1.303030303,1,0,47000,5,0,1,3,0,0
ece57b0254c7424dbea28bb139b073f7,0,117.241871,31.865027,0,0,0,0,0,1,0,0,0,0,0,0,8,0.810093052,0.363469905,2126.736111,1,1,4,47000,6,0,11,31,14,37
216270c98a5545fd9c8e76d2fd8b799b,0,115.14768,40.576381,0,0,0,1,0,0,0,1000,0,0,0,0,8,0.82883105,0.886455958,1912.434896,1.128,2,0,41000,1,0,15,13,0,0
61080c80659840898750f133e35f0326,0,117.240925,31.896158,0,1,0,0,0,0,0,966,0,0,0,0,8,0.787684014,0.94863195,171.1937412,1.078947368,7,0,44000,4,0,24,75,32,30
0c2a6286f8f74c5dbf701f4f9e829fce,0,106.662551,23.353859,0,1,0,0,0,0,0,999,1,1000,1,0,8,0.833897451,0.208192399,133.4635417,0.731707317,3,0,41000,1,0,1,17,2,0
b18e4fdd4b724d0f9ab29e9c3308fa94,0,108.40387,23.637685,0,0,0,0,0,1,0,0,0,0,0,0,8,0.691353037,0.156697559,2006.944444,1,1,0,52000,5,0,0,5,1,0
6fd0a356a61f4f0f8827b484693777f8,0,117.194794,31.840504,0,0,0,0,1,0,0,468,0,0,0,0,8,0.936294175,-0.984970586,5935.546875,18.75925926,2,0,45000,5,0,13,23,8,16
0102e1ac222243829270c460970e5b03,0,114.433413,30.428553,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.897906298,0.931178579,1613.715278,1.375,6,0,44000,3,0,11,24,3,1
895b369192e046b7a94f3642738d3db7,1,119.036133,25.436743,0,0,0,0,1,0,0,0,0,0,1,1000,8,0.560572212,-0.901856255,1868.489583,3.514285714,2,0,44000,5,0,9,63,14,30
84dea7afe3064d12ba109edddf0660b9,0,117.210695,31.847856,0,0,0,1,0,0,0,1000,0,0,0,0,8,0.655413935,0.326341686,205.2951389,0.977272727,5,0,45000,5,0,14,15,5,16
e44bd28f425a4670ae7156e764d8c03d,1,122.003893,30.048276,0,0,0,0,1,0,0,0,0,0,0,0,8,0.267869413,0.627378669,483.3984375,4.090909091,3,0,42000,1,0,5,10,0,2
9b421093de87486dadb56a9a3ad9fcaa,0,117.145226,31.839152,0,0,0,1,0,0,0,1000,1,0,0,0,8,0.824345045,0.977206766,1022.569444,1.631578947,3,0,0,0,0,6,18,10,10
8631989a90b84017be0b3c5aa5a2d2ee,1,111.507137,35.900864,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.921990639,0.683906678,1453.776042,0.564935065,3,0,45000,5,0,0,6,0,0
05b561e69227427abdeda39b3e9bdde3,0,116.960357,25.093795,0,0,0,1,0,0,0,1000,0,0,0,0,8,0.384984541,-0.949467483,46.95391414,0.823529412,2,0,41000,1,0,11,13,7,0
1cdf24e7637c4c5d99dfa03cf3ceecdb,0,121.511783,30.89846,0,0,0,1,0,0,0,1000,1,0,1,0,8,0.670718936,-0.484554681,312.5,0.703125,1,0,53000,5,0,10,10,0,0
4b3bf61b36314594abb583d7da4cb35c,0,117.228158,31.890108,0,0,0,0,0,1,0,0,0,0,0,0,8,1.095714592,0.704765847,2234.375,0.993055556,2,0,44000,4,0,47,77,105,4
